"Codice Ateco 2007",Descrizione,Aggiornamento
16.29.12,"Fabbricazione di manici di ombrelli, bastoni e simili",
16.29.19,Fabbricazione di altri prodotti vari in legno (esclusi i mobili),
16.29.2,Fabbricazione dei prodotti della lavorazione del sughero,
16.29.20,Fabbricazione dei prodotti della lavorazione del sughero,
16.29.3,Fabbricazione di articoli in paglia e materiali da intreccio,
16.29.30,Fabbricazione di articoli in paglia e materiali da intreccio,
16.29.4,Laboratori di corniciai,
16.29.40,Laboratori di corniciai,
17,FABBRICAZIONE DI CARTA E DI PRODOTTI DI CARTA,
17.1,"FABBRICAZIONE DI PASTA-CARTA, CARTA E CARTONE",
17.11,Fabbricazione di pasta-carta,
17.11.0,Fabbricazione di pasta-carta,
17.11.00,Fabbricazione di pasta-carta,
17.12,Fabbricazione di carta e cartone,
17.12.0,Fabbricazione di carta e cartone,
17.12.00,Fabbricazione di carta e cartone,
17.2,FABBRICAZIONE DI ARTICOLI DI CARTA E CARTONE,
17.21,Fabbricazione di carta e cartone ondulato e di imballaggi di carta e cartone,
17.21.0,Fabbricazione di carta e cartone ondulato e di imballaggi di carta e cartone (esclusi quelli in carta pressata),
17.21.00,Fabbricazione di carta e cartone ondulato e di imballaggi di carta e cartone (esclusi quelli in carta pressata),
17.22,Fabbricazione di prodotti igienico-sanitari e per uso domestico in carta e ovatta di cellulosa,
17.22.0,Fabbricazione di prodotti igienico-sanitari e per uso domestico in carta e ovatta di cellulosa,
17.22.00,Fabbricazione di prodotti igienico-sanitari e per uso domestico in carta e ovatta di cellulosa,
17.23,Fabbricazione di prodotti cartotecnici,
17.23.0,Fabbricazione di prodotti cartotecnici,
17.23.01,Fabbricazione di prodotti cartotecnici scolastici e commerciali quando l'attività di stampa non è la principale caratteristica,
17.23.09,Fabbricazione di altri prodotti cartotecnici,
17.24,Fabbricazione di carta da parati,
17.24.0,Fabbricazione di carta da parati,
17.24.00,Fabbricazione di carta da parati,
17.29,Fabbricazione di altri articoli di carta e cartone,
17.29.0,Fabbricazione di altri articoli di carta e cartone,
17.29.00,Fabbricazione di altri articoli di carta e cartone,
18,STAMPA E RIPRODUZIONE DI SUPPORTI REGISTRATI,
18.1,STAMPA E SERVIZI CONNESSI ALLA STAMPA,
18.11,Stampa di giornali,
18.11.0,Stampa di giornali,
18.11.00,Stampa di giornali,
18.12,Altra stampa,
18.12.0,Altra stampa,
18.12.00,Altra stampa,
18.13,Lavorazioni preliminari alla stampa e ai media,
18.13.0,Lavorazioni preliminari alla stampa e ai media,
18.13.00,Lavorazioni preliminari alla stampa e ai media,
18.14,Legatoria e servizi connessi,
18.14.0,Legatoria e servizi connessi,
18.14.00,Legatoria e servizi connessi,
18.2,RIPRODUZIONE DI SUPPORTI REGISTRATI,
18.20,Riproduzione di supporti registrati,
18.20.0,Riproduzione di supporti registrati,
18.20.00,Riproduzione di supporti registrati,
19,FABBRICAZIONE DI COKE E PRODOTTI DERIVANTI DALLA RAFFINAZIONE DEL PETROLIO,
19.1,FABBRICAZIONE DI PRODOTTI DI COKERIA,
19.10,Fabbricazione di prodotti di cokeria,
19.10.0,Fabbricazione di prodotti di cokeria,
19.10.01,Fabbricazione di pece e coke di pece,
19.10.09,Fabbricazione di altri prodotti di cokeria,
19.2,FABBRICAZIONE DI PRODOTTI DERIVANTI DALLA RAFFINAZIONE DEL PETROLIO,
19.20,Fabbricazione di prodotti derivanti dalla raffinazione del petrolio,
19.20.1,Raffinerie di petrolio,
19.20.10,Raffinerie di petrolio,
19.20.2,Preparazione o miscelazione di derivati del petrolio (esclusa la petrolchimica),
19.20.20,Preparazione o miscelazione di derivati del petrolio (esclusa la petrolchimica),
19.20.3,Miscelazione di gas petroliferi liquefatti (GPL) e loro imbottigliamento,
19.20.30,Miscelazione di gas petroliferi liquefatti (GPL) e loro imbottigliamento,
19.20.4,"Fabbricazione di emulsioni di bitume, di catrame e di leganti per uso stradale",
19.20.40,"Fabbricazione di emulsioni di bitume, di catrame e di leganti per uso stradale",
19.20.9,Fabbricazione di altri prodotti petroliferi raffinati,
19.20.90,Fabbricazione di altri prodotti petroliferi raffinati,
20,FABBRICAZIONE DI PRODOTTI CHIMICI,
20.1,"FABBRICAZIONE DI PRODOTTI CHIMICI DI BASE, DI FERTILIZZANTI E COMPOSTI AZOTATI, DI MATERIE PLASTICHE E GOMMA SINTETICA IN FORME PRIMARIE",
20.11,Fabbricazione di gas industriali,
20.11.0,Fabbricazione di gas industriali,
20.11.00,Fabbricazione di gas industriali,
20.12,Fabbricazione di coloranti e pigmenti,
20.12.0,Fabbricazione di coloranti e pigmenti,
20.12.00,Fabbricazione di coloranti e pigmenti,
20.13,Fabbricazione di altri prodotti chimici di base inorganici,
20.13.0,Fabbricazione di altri prodotti chimici di base inorganici,
20.13.01,Fabbricazione di uranio e torio arricchito,
20.13.09,Fabbricazione di altri prodotti chimici di base inorganici,
20.14,Fabbricazione di altri prodotti chimici di base organici,
20.14.0,Fabbricazione di altri prodotti chimici di base organici,
20.14.01,Fabbricazione di alcol etilico da materiali fermentati,
20.14.09,Fabbricazione di altri prodotti chimici di base organici nca,
20.15,Fabbricazione di fertilizzanti e composti azotati,
20.15.0,Fabbricazione di fertilizzanti e composti azotati (esclusa la fabbricazione di compost),
20.15.00,Fabbricazione di fertilizzanti e composti azotati (esclusa la fabbricazione di compost),
20.16,Fabbricazione di materie plastiche in forme primarie,
20.16.0,Fabbricazione di materie plastiche in forme primarie,
20.16.00,Fabbricazione di materie plastiche in forme primarie,
20.17,Fabbricazione di gomma sintetica in forme primarie,
20.17.0,Fabbricazione di gomma sintetica in forme primarie,
20.17.00,Fabbricazione di gomma sintetica in forme primarie,
20.2,FABBRICAZIONE DI AGROFARMACI E DI ALTRI PRODOTTI CHIMICI PER L'AGRICOLTURA,
20.20,Fabbricazione di agrofarmaci e di altri prodotti chimici per l'agricoltura,
20.20.0,Fabbricazione di agrofarmaci e di altri prodotti chimici per l'agricoltura (esclusi i concimi),
20.20.00,Fabbricazione di agrofarmaci e di altri prodotti chimici per l'agricoltura (esclusi i concimi),
20.3,"FABBRICAZIONE DI PITTURE, VERNICI E SMALTI, INCHIOSTRI DA STAMPA E ADESIVI SINTETICI (MASTICI)",
20.30,"Fabbricazione di pitture, vernici e smalti, inchiostri da stampa e adesivi sintetici (mastici)",
20.30.0,"Fabbricazione di pitture, vernici e smalti, inchiostri da stampa e adesivi sintetici (mastici)",
20.30.00,"Fabbricazione di pitture, vernici e smalti, inchiostri da stampa e adesivi sintetici (mastici)",
20.4,"FABBRICAZIONE DI SAPONI E DETERGENTI, DI PRODOTTI PER LA PULIZIA E LA LUCIDATURA, DI PROFUMI E COSMETICI",
20.41,"Fabbricazione di saponi e detergenti, di prodotti per la pulizia e la lucidatura",
20.41.1,"Fabbricazione di saponi, detergenti e di agenti organici tensioattivi (esclusi i prodotti per toletta)",
20.41.10,"Fabbricazione di saponi, detergenti e di agenti organici tensioattivi (esclusi i prodotti per toletta)",
20.41.2,Fabbricazione di specialità chimiche per uso domestico e per manutenzione,
20.41.20,Fabbricazione di specialità chimiche per uso domestico e per manutenzione,
20.42,Fabbricazione di profumi e cosmetici,
20.42.0,"Fabbricazione di prodotti per toletta: profumi, cosmetici, saponi e simili",
20.42.00,"Fabbricazione di prodotti per toletta: profumi, cosmetici, saponi e simili",
20.5,FABBRICAZIONE DI ALTRI PRODOTTI CHIMICI,
20.51,Fabbricazione di esplosivi,
20.51.0,Fabbricazione di esplosivi,
20.51.01,Fabbricazione di fiammiferi,
20.51.02,Fabbricazione di articoli esplosivi,
20.52,Fabbricazione di colle,
20.52.0,Fabbricazione di colle,
20.52.00,Fabbricazione di colle,
20.53,Fabbricazione di oli essenziali,
20.53.0,Fabbricazione di oli essenziali,
20.53.00,Fabbricazione di oli essenziali,
20.59,Fabbricazione di prodotti chimici nca,
20.59.1,Fabbricazione di prodotti chimici per uso fotografico,
20.59.10,Fabbricazione di prodotti chimici per uso fotografico,
20.59.2,Fabbricazione di prodotti chimici organici ottenuti da prodotti di base derivati da processi di fermentazione o da materie prime vegetali,
20.59.20,Fabbricazione di prodotti chimici organici ottenuti da prodotti di base derivati da processi di fermentazione o da materie prime vegetali,
20.59.3,Trattamento chimico degli acidi grassi,
20.59.30,Trattamento chimico degli acidi grassi,
20.59.4,Fabbricazione di prodotti chimici vari per uso industriale (inclusi i preparati antidetonanti e antigelo),
20.59.40,Fabbricazione di prodotti chimici vari per uso industriale (inclusi i preparati antidetonanti e antigelo),
20.59.5,Fabbricazione di prodotti chimici impiegati per ufficio e per il consumo non industriale,
20.59.50,Fabbricazione di prodotti chimici impiegati per ufficio e per il consumo non industriale,
20.59.6,Fabbricazione di prodotti ausiliari per le industrie tessili e del cuoio,
20.59.60,Fabbricazione di prodotti ausiliari per le industrie tessili e del cuoio,
20.59.7,"Fabbricazione di prodotti elettrochimici (esclusa produzione di cloro, soda e potassa) ed elettrotermici",
20.59.70,"Fabbricazione di prodotti elettrochimici (esclusa produzione di cloro, soda e potassa) ed elettrotermici",
20.59.9,Fabbricazione di altri prodotti chimici nca,
20.59.90,Fabbricazione di altri prodotti chimici nca,
20.6,FABBRICAZIONE DI FIBRE SINTETICHE E ARTIFICIALI,
20.60,Fabbricazione di fibre sintetiche e artificiali,
20.60.0,Fabbricazione di fibre sintetiche e artificiali,
20.60.00,Fabbricazione di fibre sintetiche e artificiali,
21,FABBRICAZIONE DI PRODOTTI FARMACEUTICI DI BASE E DI PREPARATI FARMACEUTICI,
21.1,FABBRICAZIONE DI PRODOTTI FARMACEUTICI DI BASE,
21.10,Fabbricazione di prodotti farmaceutici di base,
21.10.0,Fabbricazione di prodotti farmaceutici di base,
21.10.00,Fabbricazione di prodotti farmaceutici di base,
21.2,FABBRICAZIONE DI MEDICINALI E PREPARATI FARMACEUTICI,
21.20,Fabbricazione di medicinali e preparati farmaceutici,
21.20.0,Fabbricazione di medicinali e preparati farmaceutici,
21.20.01,Fabbricazione di sostanze diagnostiche radioattive in vivo,
21.20.09,Fabbricazione di medicinali ed altri preparati farmaceutici,
22,FABBRICAZIONE DI ARTICOLI IN GOMMA E MATERIE PLASTICHE,
22.1,FABBRICAZIONE DI ARTICOLI IN GOMMA,
22.11,Fabbricazione di pneumatici e camere d'aria; rigenerazione e ricostruzione di pneumatici,
22.11.1,Fabbricazione di pneumatici e di camere d'aria,
22.11.10,Fabbricazione di pneumatici e di camere d'aria,
22.11.2,Rigenerazione e ricostruzione di pneumatici,
22.11.20,Rigenerazione e ricostruzione di pneumatici,
22.19,Fabbricazione di altri prodotti in gomma,
22.19.0,Fabbricazione di altri prodotti in gomma,
22.19.01,Fabbricazione di suole di gomma e altre parti in gomma per calzature,
22.19.09,Fabbricazione di altri prodotti in gomma nca,
22.2,FABBRICAZIONE DI ARTICOLI IN MATERIE PLASTICHE,
22.21,"Fabbricazione di lastre, fogli, tubi e profilati in materie plastiche",
22.21.0,"Fabbricazione di lastre, fogli, tubi e profilati in materie plastiche",
22.21.00,"Fabbricazione di lastre, fogli, tubi e profilati in materie plastiche",
22.22,Fabbricazione di imballaggi in materie plastiche,
22.22.0,Fabbricazione di imballaggi in materie plastiche,
22.22.00,Fabbricazione di imballaggi in materie plastiche,
22.23,Fabbricazione di articoli in plastica per l'edilizia,
22.23.0,Fabbricazione di articoli in plastica per l'edilizia,
22.23.01,"Fabbricazione di rivestimenti elastici per pavimenti (vinile, linoleum eccetera)",
22.23.02,"Fabbricazione di porte, finestre, intelaiature eccetera in plastica per l'edilizia",
22.23.09,Fabbricazione di altri articoli in plastica per l'edilizia,
22.29,Fabbricazione di altri articoli in materie plastiche,
22.29.0,Fabbricazione di altri articoli in materie plastiche,
22.29.01,Fabbricazione di parti in plastica per calzature,
22.29.02,Fabbricazione di oggetti per l'ufficio e la scuola in plastica,
22.29.09,Fabbricazione di altri articoli in materie plastiche nca,
23,FABBRICAZIONE DI ALTRI PRODOTTI DELLA LAVORAZIONE DI MINERALI NON METALLIFERI,
23.1,FABBRICAZIONE DI VETRO E DI PRODOTTI IN VETRO,
23.11,Fabbricazione di vetro piano,
23.11.0,Fabbricazione di vetro piano,
23.11.00,Fabbricazione di vetro piano,
23.12,Lavorazione e trasformazione del vetro piano,
23.12.0,Lavorazione e trasformazione del vetro piano,
23.12.00,Lavorazione e trasformazione del vetro piano,
23.13,Fabbricazione di vetro cavo,
23.13.0,Fabbricazione di vetro cavo,
23.13.00,Fabbricazione di vetro cavo,
23.14,Fabbricazione di fibre di vetro,
23.14.0,Fabbricazione di fibre di vetro,
23.14.00,Fabbricazione di fibre di vetro,
23.19,"Fabbricazione e lavorazione di altro vetro (incluso vetro per usi tecnici), lavorazione di vetro cavo",
23.19.1,"Fabbricazione di vetrerie per laboratori, per uso igienico, per farmacia",
23.19.10,"Fabbricazione di vetrerie per laboratori, per uso igienico, per farmacia",
23.19.2,Lavorazione di vetro a mano e a soffio artistico,
23.19.20,Lavorazione di vetro a mano e a soffio artistico,
23.19.9,Fabbricazione di altri prodotti in vetro (inclusa la vetreria tecnica),
23.19.90,Fabbricazione di altri prodotti in vetro (inclusa la vetreria tecnica),
23.2,FABBRICAZIONE DI PRODOTTI REFRATTARI,
23.20,Fabbricazione di prodotti refrattari,
23.20.0,Fabbricazione di prodotti refrattari,
23.20.00,Fabbricazione di prodotti refrattari,
23.3,FABBRICAZIONE DI MATERIALI DA COSTRUZIONE IN TERRACOTTA,
23.31,Fabbricazione di piastrelle in ceramica per pavimenti e rivestimenti ,
23.31.0,Fabbricazione di piastrelle in ceramica per pavimenti e rivestimenti,
23.31.00,Fabbricazione di piastrelle in ceramica per pavimenti e rivestimenti,
23.32,"Fabbricazione di mattoni, tegole ed altri prodotti per l'edilizia in terracotta",
23.32.0,"Fabbricazione di mattoni, tegole ed altri prodotti per l'edilizia in terracotta",
23.32.00,"Fabbricazione di mattoni, tegole ed altri prodotti per l'edilizia in terracotta",
23.4,FABBRICAZIONE DI ALTRI PRODOTTI IN PORCELLANA E IN CERAMICA,
23.41,Fabbricazione di prodotti in ceramica per usi domestici e ornamentali,
23.41.0,Fabbricazione di prodotti in ceramica per usi domestici e ornamentali,
23.41.00,Fabbricazione di prodotti in ceramica per usi domestici e ornamentali,
23.42,Fabbricazione di articoli sanitari in ceramica,
23.42.0,Fabbricazione di articoli sanitari in ceramica,
23.42.00,Fabbricazione di articoli sanitari in ceramica,
23.43,Fabbricazione di isolatori e di pezzi isolanti in ceramica,
23.43.0,Fabbricazione di isolatori e di pezzi isolanti in ceramica,
23.43.00,Fabbricazione di isolatori e di pezzi isolanti in ceramica,
23.44,Fabbricazione di altri prodotti in ceramica per uso tecnico e industriale,
23.44.0,Fabbricazione di altri prodotti in ceramica per uso tecnico e industriale,
23.44.00,Fabbricazione di altri prodotti in ceramica per uso tecnico e industriale,
23.49,Fabbricazione di altri prodotti in ceramica,
23.49.0,Fabbricazione di altri prodotti in ceramica,
23.49.00,Fabbricazione di altri prodotti in ceramica,
23.5,"PRODUZIONE DI CEMENTO, CALCE E GESSO",
23.51,Produzione di cemento,
23.51.0,Produzione di cemento,
23.51.00,Produzione di cemento,
23.52,Produzione di calce e gesso,
23.52.1,Produzione di calce,
23.52.10,Produzione di calce,
23.52.2,Produzione di gesso,
23.52.20,Produzione di gesso,
23.6,"FABBRICAZIONE DI PRODOTTI IN CALCESTRUZZO, CEMENTO E GESSO",
23.61,Fabbricazione di prodotti in calcestruzzo per l'edilizia,
23.61.0,Fabbricazione di prodotti in calcestruzzo per l'edilizia,
23.61.00,Fabbricazione di prodotti in calcestruzzo per l'edilizia,
23.62,Fabbricazione di prodotti in gesso per l'edilizia,
23.62.0,Fabbricazione di prodotti in gesso per l'edilizia,
23.62.00,Fabbricazione di prodotti in gesso per l'edilizia,
23.63,Produzione di calcestruzzo pronto per l'uso,
23.63.0,Produzione di calcestruzzo pronto per l'uso,
23.63.00,Produzione di calcestruzzo pronto per l'uso,
23.64,Produzione di malta,
23.64.0,Produzione di malta,
23.64.00,Produzione di malta,
23.65,Fabbricazione di prodotti in fibrocemento,
23.65.0,Fabbricazione di prodotti in fibrocemento,
23.65.00,Fabbricazione di prodotti in fibrocemento,
23.69,"Fabbricazione di altri prodotti in calcestruzzo, gesso e cemento",
23.69.0,"Fabbricazione di altri prodotti in calcestruzzo, gesso e cemento",
23.69.00,"Fabbricazione di altri prodotti in calcestruzzo, gesso e cemento",
23.7,"TAGLIO, MODELLATURA E FINITURA DI PIETRE",
23.70,"Taglio, modellatura e finitura di pietre",
23.70.1,Segagione e lavorazione delle pietre e del marmo,
23.70.10,Segagione e lavorazione delle pietre e del marmo,
23.70.2,"Lavorazione artistica del marmo e di altre pietre affini, lavori in mosaico",
23.70.20,"Lavorazione artistica del marmo e di altre pietre affini, lavori in mosaico",
23.70.3,Frantumazione di pietre e minerali vari non in connessione con l'estrazione,
23.70.30,Frantumazione di pietre e minerali vari non in connessione con l'estrazione,
23.9,FABBRICAZIONE DI PRODOTTI ABRASIVI E DI PRODOTTI IN MINERALI NON METALLIFERI NCA,
23.91,Produzione di prodotti abrasivi,
23.91.0,Produzione di prodotti abrasivi,
23.91.00,Produzione di prodotti abrasivi,
23.99,Fabbricazione di altri prodotti in minerali non metalliferi nca,
23.99.0,Fabbricazione di altri prodotti in minerali non metalliferi nca,
23.99.00,Fabbricazione di altri prodotti in minerali non metalliferi nca,
24,METALLURGIA,
24.1,SIDERURGIA,
24.10,Siderurgia,
24.10.0,"Siderurgia - Fabbricazione di ferro, acciaio e ferroleghe",
